,Unnamed: 0,smoothness_mean,compactness_mean,symmetry_mean,fractal_dimension_mean,texture_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,texture_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
349,349,0.1158,0.1206,0.2459,0.06581,1.05,26.65,0.0058,0.02417,0.007816,0.01052,0.02734,0.003114,17.72,496.2,0.1293,0.1885,0.03122,0.04766,0.3124,0.0759
54,54,0.09056,0.07081,0.1616,0.05684,0.8339,29.91,0.004675,0.0103,0.01603,0.009222,0.01095,0.001629,31.69,1030.0,0.1389,0.2057,0.2712,0.153,0.2675,0.07873
83,83,0.1215,0.1791,0.1634,0.07224,2.91,67.1,0.007545,0.0605,0.02134,0.01843,0.03056,0.01039,32.72,1298.0,0.1392,0.2817,0.2432,0.1841,0.2311,0.09203
406,406,0.09495,0.08501,0.1735,0.05875,0.6372,21.83,0.003958,0.01246,0.01831,0.008747,0.015,0.001621,19.58,947.9,0.1206,0.1722,0.231,0.1129,0.2778,0.07012
17,17,0.117,0.2022,0.2164,0.07356,1.073,54.18,0.007026,0.02501,0.03188,0.01297,0.01689,0.004142,31.48,1315.0,0.1789,0.4233,0.4784,0.2073,0.3706,0.1142
560,560,0.09929,0.1126,0.1537,0.06171,1.492,29.84,0.007256,0.02678,0.02071,0.01626,0.0208,0.005304,33.17,706.7,0.1241,0.2264,0.1326,0.1048,0.225,0.08321
356,356,0.1082,0.1304,0.2035,0.06501,1.51,21.57,0.007807,0.03932,0.05112,0.01876,0.0286,0.005715,24.85,591.2,0.1343,0.2658,0.2573,0.1258,0.3113,0.08317
332,332,0.1054,0.06779,0.194,0.06028,1.966,19.62,0.01289,0.01104,0.003297,0.004967,0.04243,0.001963,25.78,436.1,0.1424,0.09669,0.01335,0.02022,0.3292,0.06522
347,347,0.08875,0.0778,0.1521,0.05912,0.3981,29.06,0.004732,0.01506,0.01855,0.01067,0.02163,0.002783,17.93,880.8,0.122,0.2009,0.2151,0.1251,0.3109,0.08187
151,151,0.09405,0.1305,0.2222,0.08261,1.962,10.21,0.01243,0.05416,0.07753,0.01022,0.02309,0.01178,29.72,249.8,0.163,0.431,0.5381,0.07879,0.3322,0.1486
557,557,0.08123,0.04971,0.1742,0.06059,2.927,29.11,0.01159,0.01124,0.0,0.0,0.03004,0.003324,34.24,330.6,0.1073,0.07158,0.0,0.0,0.2475,0.06969
9,9,0.1186,0.2396,0.203,0.08243,1.599,23.94,0.007149,0.07217,0.07743,0.01432,0.01789,0.01008,40.68,711.4,0.1853,1.058,1.105,0.221,0.4366,0.2075
329,329,0.1165,0.1283,0.1869,0.06532,1.457,57.72,0.01056,0.03756,0.05839,0.01186,0.04022,0.006187,25.21,975.2,0.1426,0.2116,0.3344,0.1047,0.2736,0.07953
237,237,0.08355,0.08348,0.1467,0.05177,1.041,83.5,0.007959,0.03133,0.04257,0.01671,0.01341,0.003933,26.17,1750.0,0.1228,0.2311,0.3158,0.1445,0.2238,0.07127
466,466,0.08675,0.1089,0.1562,0.0602,0.7884,27.4,0.007295,0.03179,0.04615,0.01254,0.01561,0.00323,25.46,689.1,0.1351,0.3549,0.4504,0.1181,0.2563,0.08174
517,517,0.1037,0.131,0.1802,0.06188,0.8737,59.7,0.005089,0.02303,0.03052,0.01178,0.01057,0.003391,25.23,1646.0,0.1417,0.3309,0.4185,0.1613,0.2549,0.09136
491,491,0.07838,0.06217,0.122,0.05243,1.046,50.95,0.004369,0.008274,0.01153,0.007437,0.01302,0.001309,18.42,1210.0,0.09862,0.09976,0.1048,0.08341,0.1783,0.05871
112,112,0.07837,0.2233,0.1704,0.07769,1.49,29.25,0.005298,0.07446,0.1435,0.02292,0.02566,0.01298,23.73,709.0,0.08949,0.4193,0.6783,0.1505,0.2398,0.1082
160,160,0.1089,0.1141,0.1993,0.06453,1.693,38.34,0.009433,0.02405,0.04167,0.01152,0.03397,0.005061,26.21,543.9,0.1358,0.1892,0.1956,0.07909,0.3168,0.07987
318,318,0.09968,0.1972,0.233,0.08743,1.911,24.2,0.009845,0.0659,0.1027,0.02527,0.03491,0.007877,23.4,297.1,0.1221,0.3748,0.4609,0.1145,0.3135,0.1055
333,333,0.08306,0.04458,0.1773,0.06081,0.9961,15.07,0.005617,0.007124,0.0009737,0.002941,0.017,0.00203,22.06,492.7,0.1166,0.09794,0.005518,0.01667,0.2815,0.07418
1,1,0.08474,0.07864,0.1812,0.05667,0.7339,74.08,0.005225,0.01308,0.0186,0.0134,0.01389,0.003532,23.41,1956.0,0.1238,0.1866,0.2416,0.186,0.275,0.08902
455,455,0.09245,0.07426,0.1375,0.06016,1.924,28.93,0.005841,0.01246,0.007936,0.009128,0.01564,0.002985,41.61,705.6,0.1172,0.1421,0.07003,0.07763,0.2196,0.07675
389,389,0.101,0.1318,0.1989,0.05884,2.836,70.1,0.01124,0.04097,0.07469,0.03441,0.02768,0.00624,30.44,1313.0,0.1251,0.2414,0.3829,0.1825,0.2576,0.07602
45,45,0.1099,0.1686,0.1907,0.06049,0.6633,71.56,0.006294,0.03994,0.05554,0.01695,0.02428,0.003535,21.32,1567.0,0.1679,0.509,0.7345,0.2378,0.3799,0.09185
231,231,0.06883,0.03813,0.1869,0.05628,0.8927,8.605,0.003653,0.01647,0.01633,0.003125,0.01537,0.002052,33.75,452.3,0.09203,0.1432,0.1089,0.02083,0.2849,0.07087
142,142,0.1092,0.09486,0.1645,0.06562,1.908,21.38,0.006664,0.01735,0.01158,0.00952,0.02282,0.003526,26.76,503.0,0.1413,0.1792,0.07708,0.06402,0.2584,0.08096
162,162,0.112,0.1666,0.2027,0.06082,1.048,97.07,0.004057,0.02277,0.04029,0.01303,0.01686,0.003318,26.39,2232.0,0.1438,0.3846,0.681,0.2247,0.3643,0.09223
216,216,0.09363,0.1154,0.1967,0.06314,1.563,21.46,0.008872,0.04192,0.05946,0.01785,0.02793,0.004775,27.1,531.2,0.1405,0.3046,0.2806,0.1138,0.3397,0.08365
456,456,0.09357,0.08574,0.1799,0.06166,2.426,23.13,0.009861,0.02418,0.04275,0.009215,0.02475,0.002128,38.81,527.8,0.1406,0.2031,0.2923,0.06835,0.2884,0.0722
210,210,0.0909,0.1348,0.1765,0.05024,1.48,111.7,0.008124,0.03611,0.05489,0.02765,0.03176,0.002365,27.84,1656.0,0.1178,0.292,0.3861,0.192,0.2909,0.05865
204,204,0.09965,0.1058,0.1925,0.06373,1.044,30.29,0.006953,0.01911,0.02701,0.01037,0.01782,0.003586,24.64,677.9,0.1426,0.2378,0.2671,0.1015,0.3014,0.0875
109,109,0.08759,0.06575,0.1487,0.06529,0.9861,16.41,0.009113,0.01557,0.02443,0.006435,0.01568,0.002477,29.15,518.1,0.1699,0.2196,0.312,0.08278,0.2829,0.08832
538,538,0.08098,0.04878,0.187,0.07285,1.462,19.14,0.01266,0.009692,0.0,0.0,0.02882,0.006872,30.92,248.0,0.1256,0.0834,0.0,0.0,0.3058,0.09938
269,269,0.1082,0.1289,0.1668,0.06862,1.489,20.74,0.008902,0.04785,0.07339,0.01745,0.02728,0.00761,25.21,410.4,0.1335,0.255,0.2534,0.086,0.2605,0.08701
492,492,0.1001,0.1289,0.2116,0.06077,1.288,89.74,0.007997,0.027,0.03737,0.01648,0.02897,0.003996,26.06,1426.0,0.1309,0.2327,0.2544,0.1489,0.3251,0.07625
438,438,0.08684,0.0633,0.1555,0.05673,1.678,29.63,0.005836,0.01095,0.005812,0.007039,0.02014,0.002326,28.01,749.1,0.1118,0.1141,0.04753,0.0589,0.2513,0.06911
295,295,0.09198,0.06221,0.1592,0.05912,0.6946,17.74,0.004348,0.008153,0.004272,0.006829,0.02154,0.001802,16.93,661.1,0.117,0.1072,0.03732,0.05802,0.2823,0.06794
434,434,0.08924,0.07074,0.1573,0.05703,0.6683,23.92,0.005756,0.01665,0.01461,0.008281,0.01551,0.002168,20.54,777.5,0.1218,0.155,0.122,0.07971,0.2525,0.06827
398,398,0.07741,0.04768,0.1535,0.06214,0.6881,12.98,0.004259,0.01469,0.0194,0.004168,0.01191,0.003537,20.35,496.7,0.112,0.1879,0.2079,0.05556,0.259,0.09158
286,286,0.08605,0.1011,0.1588,0.06766,1.39,21.91,0.006719,0.05156,0.04387,0.01633,0.01872,0.008015,27.29,546.1,0.1116,0.2813,0.2365,0.1155,0.2465,0.09981
261,261,0.08662,0.0629,0.1564,0.05307,1.317,44.41,0.005726,0.01106,0.01246,0.007671,0.01411,0.001578,31.47,1218.0,0.124,0.1486,0.1211,0.08235,0.2452,0.06515
393,393,0.1167,0.2087,0.2162,0.06606,0.9209,80.99,0.005215,0.03726,0.04718,0.01288,0.02045,0.004028,28.74,2081.0,0.1502,0.5717,0.7053,0.2422,0.3828,0.1007
38,38,0.09387,0.05131,0.1565,0.05504,2.188,106.0,0.006883,0.01094,0.01818,0.01917,0.007882,0.001754,25.2,698.8,0.09387,0.05131,0.02398,0.02899,0.1565,0.05504
303,303,0.1068,0.06678,0.1482,0.066,1.563,10.08,0.008875,0.009362,0.01808,0.009199,0.01791,0.003317,24.54,375.4,0.1413,0.1044,0.08423,0.06528,0.2213,0.07842
41,41,0.1227,0.1218,0.1895,0.0687,1.428,16.97,0.008064,0.01764,0.02595,0.01037,0.01357,0.00304,35.34,514.0,0.1909,0.2698,0.4023,0.1424,0.2964,0.09606
197,197,0.07371,0.08642,0.177,0.0534,1.305,76.36,0.00553,0.05296,0.0611,0.01444,0.0214,0.005036,24.7,1228.0,0.08822,0.1963,0.2535,0.09181,0.2369,0.06558
156,156,0.1115,0.1665,0.1971,0.06166,1.4,93.91,0.009037,0.04954,0.05206,0.01841,0.01778,0.004968,25.11,1302.0,0.1418,0.3498,0.3583,0.1515,0.2463,0.07738
339,339,0.1069,0.1283,0.1797,0.05506,0.9245,164.1,0.006292,0.01971,0.03582,0.01301,0.01479,0.003118,30.73,2906.0,0.1515,0.2678,0.4819,0.2089,0.2593,0.07738
539,539,0.08668,0.1199,0.2037,0.07751,1.479,11.73,0.01547,0.06457,0.09252,0.01364,0.02105,0.007551,31.89,223.6,0.1596,0.3064,0.3393,0.05,0.279,0.1066
359,359,0.1009,0.05956,0.1506,0.06959,1.247,30.48,0.006836,0.008982,0.02348,0.006565,0.01942,0.002713,25.02,439.6,0.1333,0.1049,0.1144,0.05052,0.2454,0.08136
453,453,0.1099,0.09242,0.165,0.06121,0.7213,25.7,0.006133,0.01251,0.01615,0.01136,0.02207,0.003563,16.93,749.9,0.1347,0.1478,0.1373,0.1069,0.2606,0.0781
62,62,0.1049,0.2008,0.1949,0.07292,1.268,60.78,0.009407,0.07056,0.06899,0.01848,0.017,0.006113,29.51,959.5,0.164,0.6247,0.6922,0.1785,0.2844,0.1132
449,449,0.09684,0.1175,0.1554,0.05661,1.361,81.89,0.005467,0.02075,0.03185,0.01466,0.01029,0.002205,32.07,2022.0,0.1368,0.3101,0.4399,0.228,0.2268,0.07425
2,2,0.1096,0.1599,0.2069,0.05999,0.7869,94.03,0.00615,0.04006,0.03832,0.02058,0.0225,0.004571,25.53,1709.0,0.1444,0.4245,0.4504,0.243,0.3613,0.08758
306,306,0.08511,0.05251,0.1632,0.05894,0.5735,15.5,0.003632,0.007861,0.001128,0.002386,0.01344,0.002585,20.45,636.9,0.1128,0.1346,0.0112,0.025,0.2651,0.08385
260,260,0.1,0.1088,0.1814,0.05572,1.033,52.34,0.005043,0.01578,0.02117,0.008185,0.01282,0.001892,39.16,1844.0,0.1522,0.2945,0.3788,0.1697,0.3151,0.07999
220,220,0.09646,0.08711,0.136,0.06344,0.4336,17.4,0.004133,0.01695,0.01652,0.006659,0.01371,0.002735,16.35,706.2,0.1311,0.2474,0.1759,0.08056,0.238,0.08718
16,16,0.09867,0.072,0.1586,0.05922,1.24,45.4,0.005718,0.01162,0.01998,0.01109,0.0141,0.002085,30.88,1138.0,0.1464,0.1871,0.2914,0.1609,0.3029,0.08216
367,367,0.09231,0.07175,0.1695,0.05916,0.7786,18.57,0.005833,0.01388,0.02,0.007087,0.01938,0.00196,24.04,624.6,0.1368,0.217,0.2413,0.08829,0.3218,0.0747
496,496,0.1076,0.1334,0.1641,0.06854,0.6332,18.4,0.005704,0.02502,0.02636,0.01032,0.01759,0.003563,22.15,633.7,0.1533,0.3842,0.3582,0.1407,0.323,0.1033
95,95,0.09078,0.1313,0.2095,0.05649,1.509,87.87,0.006016,0.03482,0.04232,0.01269,0.02657,0.004411,31.59,1750.0,0.119,0.3539,0.4098,0.1573,0.3689,0.08368
258,258,0.1109,0.3114,0.2495,0.08104,2.454,138.5,0.01236,0.05995,0.08232,0.03024,0.02337,0.006042,31.64,1226.0,0.1504,0.5172,0.6181,0.2462,0.3277,0.1019
11,11,0.0971,0.1292,0.1842,0.06082,0.9849,54.16,0.005771,0.04061,0.02791,0.01282,0.02008,0.004144,27.28,1299.0,0.1396,0.5609,0.3965,0.181,0.3792,0.1048
488,488,0.1128,0.09263,0.1853,0.06401,1.154,27.57,0.008998,0.01292,0.01851,0.01167,0.02152,0.003213,21.59,549.8,0.1526,0.1477,0.149,0.09815,0.2804,0.08024
537,537,0.1236,0.1552,0.2131,0.07405,1.978,20.95,0.01288,0.03495,0.01865,0.01766,0.0156,0.005824,32.19,487.7,0.1768,0.3251,0.1395,0.1308,0.2803,0.0997
375,375,0.0988,0.1438,0.199,0.06572,0.489,14.91,0.00451,0.01812,0.01951,0.01196,0.01934,0.003696,19.14,861.5,0.1235,0.255,0.2114,0.1251,0.3153,0.0896
10,10,0.08206,0.06669,0.1528,0.05697,1.187,40.51,0.004029,0.009269,0.01101,0.007591,0.0146,0.003042,33.88,1150.0,0.1181,0.1551,0.1459,0.09975,0.2948,0.08452
61,61,0.1243,0.08963,0.1828,0.06757,2.067,18.39,0.01193,0.03162,0.03,0.009259,0.03357,0.003048,27.04,273.9,0.1639,0.1698,0.09001,0.02778,0.2972,0.07712
247,247,0.0876,0.1346,0.1596,0.06409,0.4402,16.35,0.005501,0.05592,0.08158,0.0137,0.01266,0.007555,17.7,639.1,0.1254,0.5849,0.7727,0.1561,0.2639,0.1178
302,302,0.108,0.1838,0.2249,0.07469,1.743,130.8,0.007964,0.04732,0.07649,0.01936,0.02736,0.005928,29.43,1696.0,0.1347,0.3391,0.4932,0.1923,0.3294,0.09469
377,377,0.07517,0.04726,0.1421,0.05763,1.15,14.91,0.004942,0.01203,0.007508,0.005179,0.01442,0.001684,35.63,680.6,0.1108,0.1457,0.07934,0.05781,0.2694,0.07061
522,522,0.08511,0.04413,0.1637,0.06343,1.083,9.332,0.0042,0.0059,0.003846,0.004065,0.01487,0.002295,26.43,435.9,0.1108,0.07723,0.02533,0.02832,0.2557,0.07613
468,468,0.09289,0.2004,0.1696,0.07369,1.465,104.9,0.006766,0.07025,0.06591,0.02311,0.01673,0.0113,28.87,1437.0,0.1207,0.4785,0.5165,0.1996,0.2301,0.1224
370,370,0.09742,0.1497,0.2175,0.06218,1.022,45.5,0.005635,0.03917,0.06072,0.01656,0.03197,0.004085,31.03,1165.0,0.1415,0.4665,0.7087,0.2248,0.4824,0.09614
315,315,0.08511,0.03834,0.1215,0.05673,0.7151,12.69,0.004928,0.003012,0.00262,0.00339,0.01393,0.001344,19.71,544.2,0.1104,0.04953,0.01938,0.02784,0.1917,0.06174
119,119,0.08402,0.06722,0.2129,0.05025,1.214,54.04,0.004024,0.008422,0.02291,0.009863,0.05014,0.001902,27.83,1261.0,0.1072,0.1202,0.2249,0.1185,0.4882,0.06111
518,518,0.1218,0.1661,0.1709,0.07253,1.169,34.37,0.005273,0.02329,0.01405,0.01244,0.01816,0.003299,24.37,674.7,0.1456,0.2961,0.1246,0.1096,0.2582,0.08893
227,227,0.08371,0.1096,0.1881,0.05907,0.4966,19.88,0.004119,0.03207,0.03644,0.01155,0.01391,0.003204,19.31,808.2,0.1136,0.3627,0.3402,0.1379,0.2954,0.08362
77,77,0.1065,0.2146,0.2152,0.06673,0.5505,134.8,0.00794,0.05839,0.04658,0.0207,0.02591,0.007054,18.91,1610.0,0.1478,0.5634,0.3786,0.2102,0.3751,0.1108
147,147,0.08138,0.1167,0.1744,0.06493,1.909,39.43,0.00579,0.04877,0.05303,0.01527,0.03356,0.009368,25.47,809.7,0.0997,0.2521,0.25,0.08405,0.2852,0.09218
228,228,0.07903,0.07529,0.1514,0.06019,1.066,18.51,0.005169,0.02294,0.03016,0.008691,0.01365,0.003407,31.31,624.0,0.1227,0.3454,0.3911,0.118,0.2826,0.09585
346,346,0.08386,0.05794,0.1555,0.06048,1.152,18.02,0.00718,0.01096,0.005832,0.005495,0.01982,0.002754,27.06,562.6,0.1289,0.1352,0.04506,0.05093,0.288,0.08083
357,357,0.08743,0.05492,0.1424,0.05883,1.363,20.74,0.005638,0.007939,0.005254,0.006042,0.01544,0.002087,25.58,694.4,0.1153,0.1008,0.05285,0.05556,0.2362,0.07113
549,549,0.08192,0.06602,0.1976,0.06328,1.918,33.0,0.008263,0.0187,0.01277,0.005917,0.02466,0.002977,31.45,505.6,0.1204,0.1633,0.06194,0.03264,0.3059,0.07626
298,298,0.06576,0.0522,0.1635,0.05586,0.669,20.56,0.003169,0.01377,0.01079,0.005243,0.01103,0.001957,25.26,819.7,0.09445,0.2167,0.1565,0.0753,0.2636,0.07676
255,255,0.1096,0.1279,0.1908,0.0613,0.8098,35.74,0.006351,0.02679,0.03119,0.01342,0.02062,0.002695,22.07,826.0,0.1512,0.3262,0.3209,0.1374,0.3068,0.07957
185,185,0.09267,0.04695,0.1703,0.06048,1.268,26.43,0.01439,0.012,0.001597,0.002404,0.02538,0.00347,21.18,437.0,0.1521,0.1019,0.00692,0.01042,0.2933,0.07697
483,483,0.0995,0.07957,0.1732,0.06088,0.9462,20.64,0.003245,0.008186,0.01698,0.009233,0.01285,0.001524,23.53,686.5,0.1199,0.1346,0.1742,0.09077,0.2518,0.0696
271,271,0.09834,0.07608,0.1769,0.0627,0.5293,13.17,0.006472,0.01122,0.01282,0.008849,0.01692,0.002817,16.18,457.5,0.1358,0.1507,0.1275,0.0875,0.2733,0.08022
